id,origin_name,result_nums,final_name,type,errorcode,certified,hasany
36,老狼大盘鸡,118,老狼大盘鸡,正确,0,FALSE,
132,老鲁家手擀面,2,老鲁家手擀面,正确,0,,
330,老上海混沌馆,0,老上海馄饨王,正确,0,,
524,老树林东北烧烤,2,老树林东北烧烤,正确,0,FALSE,
452,老长沙罐子楼,4,老长沙罐子楼,正确,0,FALSE,
233,老庄户炒鸡,1,老庄户炒鸡,正确,0,,
447,李想大虾,9,李想大虾,正确,0,,
195,靓靓龙虾,1,靓靓龙虾,正确,0,,
43,刘记羊肉汤,21,刘记羊肉汤,正确,0,FALSE,
272,龙裕山庄,5,龙裕山庄,正确,0,FALSE,
14,炉小哥,7,炉小哥烤肉,正确,0,TRUE,
78,炉小哥烤肉,7,炉小哥烤肉,正确,0,TRUE,
116,洛阳市南关小碗牛肉汤总店,0,洛阳小碗牛肉汤,正确,0,,
476,马记烩面,13,马记烩面,正确,0,,
10,马记老字号,1,马记老字号,正确,0,,
435,马记飘香热干面,1,马记飘香热干面,正确,0,,
318,马军烧烤,1,马军烧烤,正确,0,,
183,麦当劳,30,麦当劳,正确,0,FALSE,
541,麦克斯,4,麦克斯,正确,0,,
543,麦香烩面,1,小麦香烩面,正确,0,,
56,曼玉,5,曼玉融合餐厅,正确,0,FALSE,
450,曼玉餐厅,0,曼玉融合餐厅,正确,0,FALSE,
359,曼玉新都会,0,曼玉融合餐厅,正确,0,FALSE,
238,美食公社,3,美食公社,正确,0,,
185,密雪冰城,0,蜜雪冰城,正确,0,TRUE,
102,庙东排骨,12,庙东排骨,正确,0,TRUE,
142,娜娜大盘鸡,4,娜娜大盘鸡,正确,0,,
486,牛蛙爱上虾,9,牛蛙爱上虾,正确,0,FALSE,
399,牛羊小馆,1,牛羊小馆,正确,0,,
534,农家小院,13,农家小院,正确,0,,
310,胖哥俩肉蟹煲,6,胖哥俩肉蟹煲,正确,0,TRUE,
339,齐祺鱼锅,2,齐祺渔锅,正确,0,FALSE,
363,齐祺渔锅,24,齐祺渔锅,正确,0,FALSE,
387,祺齐鱼锅,0,齐祺渔锅,正确,0,FALSE,
331,杞国砂锅,1,杞国砂锅,正确,0,,
424,俏七夕,16,俏七夕米线,正确,0,,
294,蓉亭食贝,2,蓉亭食贝餐厅,正确,0,,
425,蓉小月,17,蓉小月,正确,0,FALSE,1
